protein_id,outcome_id,outcome_type,outcome_name,evidence,source
CCDC6 - coiled-coil domain containing 6 (human),Testicular Neoplasms,Disease,Testicular Neoplasms,MESH:D013736,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Thyroid cancer, follicular",Disease,"Thyroid cancer, follicular",MESH:C572845,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Thyroid Cancer, Papillary",Disease,"Thyroid Cancer, Papillary",marker/mechanism;MESH:D000077273,CTD
CCDC6 - coiled-coil domain containing 6 (human),Thyroid Diseases,Disease,Thyroid Diseases,MESH:D013959,CTD
CCDC6 - coiled-coil domain containing 6 (human),Thyroid Dysgenesis,Disease,Thyroid Dysgenesis,MESH:D050033,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Thyroid Hormone Metabolism, Abnormal",Disease,"Thyroid Hormone Metabolism, Abnormal",MESH:C566454,CTD
CCDC6 - coiled-coil domain containing 6 (human),Thyroid Neoplasms,Disease,Thyroid Neoplasms,MESH:D013964,CTD
CCDC6 - coiled-coil domain containing 6 (human),Tongue Neoplasms,Disease,Tongue Neoplasms,MESH:D014062,CTD
CCDC6 - coiled-coil domain containing 6 (human),Tracheal Neoplasms,Disease,Tracheal Neoplasms,MESH:D014134,CTD
CCDC6 - coiled-coil domain containing 6 (human),Triple Negative Breast Neoplasms,Disease,Triple Negative Breast Neoplasms,MESH:D064726,CTD
CCDC6 - coiled-coil domain containing 6 (human),Tumor Lysis Syndrome,Disease,Tumor Lysis Syndrome,MESH:D015275,CTD
CCDC6 - coiled-coil domain containing 6 (human),Ureteral Neoplasms,Disease,Ureteral Neoplasms,MESH:D014516,CTD
CCDC6 - coiled-coil domain containing 6 (human),Urethral Neoplasms,Disease,Urethral Neoplasms,MESH:D014523,CTD
CCDC6 - coiled-coil domain containing 6 (human),Urinary Bladder Neoplasms,Disease,Urinary Bladder Neoplasms,MESH:D001749,CTD
CCDC6 - coiled-coil domain containing 6 (human),Urogenital Neoplasms,Disease,Urogenital Neoplasms,MESH:D014565,CTD
CCDC6 - coiled-coil domain containing 6 (human),Urologic Neoplasms,Disease,Urologic Neoplasms,MESH:D014571,CTD
CCDC6 - coiled-coil domain containing 6 (human),Uterine Cervical Neoplasms,Disease,Uterine Cervical Neoplasms,MESH:D002583,CTD
CCDC6 - coiled-coil domain containing 6 (human),Uterine Neoplasms,Disease,Uterine Neoplasms,MESH:D014594,CTD
CCDC6 - coiled-coil domain containing 6 (human),Uveal Neoplasms,Disease,Uveal Neoplasms,MESH:D014604,CTD
CCDC6 - coiled-coil domain containing 6 (human),Vaginal Neoplasms,Disease,Vaginal Neoplasms,MESH:D014625,CTD
CCDC6 - coiled-coil domain containing 6 (human),Vascular Calcification,Disease,Vascular Calcification,MESH:D061205,CTD
CCDC6 - coiled-coil domain containing 6 (human),Vascular Diseases,Disease,Vascular Diseases,MESH:D014652,CTD
CCDC6 - coiled-coil domain containing 6 (human),Vascular Malformations,Disease,Vascular Malformations,MESH:D054079,CTD
CCDC6 - coiled-coil domain containing 6 (human),Vascular Remodeling,Disease,Vascular Remodeling,MESH:D066253,CTD
CCDC6 - coiled-coil domain containing 6 (human),Vascular System Injuries,Disease,Vascular System Injuries,MESH:D057772,CTD
CCDC6 - coiled-coil domain containing 6 (human),Wilms Tumor,Disease,Wilms Tumor,MESH:D009396,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Acidosis, Renal Tubular",Disease,"Acidosis, Renal Tubular",MESH:D000141,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Acute erythroleukemia,Disease,Acute erythroleukemia,marker/mechanism;MESH:C535673,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Acute Lung Injury,Disease,Acute Lung Injury,MESH:D055371,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Adenocarcinoma,Disease,Adenocarcinoma,MESH:D000230,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Adenocarcinoma of Lung,Disease,Adenocarcinoma of Lung,MESH:D000077192,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Adrenal Cortex Diseases,Disease,Adrenal Cortex Diseases,MESH:D000303,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Adrenal Gland Diseases,Disease,Adrenal Gland Diseases,MESH:D000307,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Adrenal Gland Neoplasms,Disease,Adrenal Gland Neoplasms,MESH:D000310,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Adrenal Hyperplasia, Congenital",Disease,"Adrenal Hyperplasia, Congenital",MESH:D000312,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Adrenal Insufficiency,Disease,Adrenal Insufficiency,MESH:D000309,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Adrenocortical Carcinoma,Disease,Adrenocortical Carcinoma,MESH:D018268,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Anemia,Disease,Anemia,MESH:D000740,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Anemia, Aplastic",Disease,"Anemia, Aplastic",MESH:D000741,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Anemia, Hemolytic",Disease,"Anemia, Hemolytic",MESH:D000743,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Anemia, Hemolytic, Autoimmune",Disease,"Anemia, Hemolytic, Autoimmune",MESH:D000744,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Anemia, Hypochromic",Disease,"Anemia, Hypochromic",MESH:D000747,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Anemia, Iron-Deficiency",Disease,"Anemia, Iron-Deficiency",MESH:D018798,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Anemia, Refractory, with Excess of Blasts",Disease,"Anemia, Refractory, with Excess of Blasts",MESH:D000754,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Anemia, Sideroblastic",Disease,"Anemia, Sideroblastic",MESH:D000756,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Anus Neoplasms,Disease,Anus Neoplasms,MESH:D001005,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Arrhythmias, Cardiac",Disease,"Arrhythmias, Cardiac",MESH:D001145,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Autoimmune Diseases,Disease,Autoimmune Diseases,MESH:D001327,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Bone Marrow Neoplasms,Disease,Bone Marrow Neoplasms,MESH:D019046,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Brain Neoplasms,Disease,Brain Neoplasms,MESH:D001932,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Brain Stem Neoplasms,Disease,Brain Stem Neoplasms,MESH:D020295,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Breast Neoplasms,Disease,Breast Neoplasms,MESH:D001943,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Bronchial Neoplasms,Disease,Bronchial Neoplasms,MESH:D001984,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Burkitt Lymphoma,Disease,Burkitt Lymphoma,MESH:D002051,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Carcinoma,Disease,Carcinoma,MESH:D002277,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Carcinoma, Bronchogenic",Disease,"Carcinoma, Bronchogenic",MESH:D002283,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Carcinoma, Ductal, Breast",Disease,"Carcinoma, Ductal, Breast",MESH:D018270,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Carcinoma, Ehrlich Tumor",Disease,"Carcinoma, Ehrlich Tumor",MESH:D002286,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Carcinoma, Embryonal",Disease,"Carcinoma, Embryonal",MESH:D018236,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Carcinoma, Endometrioid",Disease,"Carcinoma, Endometrioid",MESH:D018269,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Carcinoma, Hepatocellular",Disease,"Carcinoma, Hepatocellular",MESH:D006528,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Carcinoma in Situ,Disease,Carcinoma in Situ,MESH:D002278,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Carcinoma, Large Cell",Disease,"Carcinoma, Large Cell",MESH:D018287,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Carcinoma, Lewis Lung",Disease,"Carcinoma, Lewis Lung",MESH:D018827,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Carcinoma, Merkel Cell",Disease,"Carcinoma, Merkel Cell",MESH:D015266,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Carcinoma, Non-Small-Cell Lung",Disease,"Carcinoma, Non-Small-Cell Lung",MESH:D002289,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Carcinoma, Ovarian Epithelial",Disease,"Carcinoma, Ovarian Epithelial",MESH:D000077216,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Carcinoma, Pancreatic Ductal",Disease,"Carcinoma, Pancreatic Ductal",MESH:D021441,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Carcinoma, Papillary",Disease,"Carcinoma, Papillary",MESH:D002291,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Carcinoma, Renal Cell",Disease,"Carcinoma, Renal Cell",MESH:D002292,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Carcinoma, Small Cell",Disease,"Carcinoma, Small Cell",MESH:D018288,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Carcinoma, Squamous Cell",Disease,"Carcinoma, Squamous Cell",MESH:D002294,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Carcinoma, Transitional Cell",Disease,"Carcinoma, Transitional Cell",MESH:D002295,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Cardiac Complexes, Premature",Disease,"Cardiac Complexes, Premature",MESH:D005117,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Cardiac Conduction System Disease,Disease,Cardiac Conduction System Disease,MESH:D000075224,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Cardiac Output, High",Disease,"Cardiac Output, High",MESH:D016534,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Cardiac Tamponade,Disease,Cardiac Tamponade,MESH:D002305,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Cardiovascular Abnormalities,Disease,Cardiovascular Abnormalities,MESH:D018376,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Cardiovascular Diseases,Disease,Cardiovascular Diseases,MESH:D002318,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Central Nervous System Neoplasms,Disease,Central Nervous System Neoplasms,MESH:D016543,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Cerebrovascular Disorders,Disease,Cerebrovascular Disorders,MESH:D002561,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Cholangiocarcinoma,Disease,Cholangiocarcinoma,MESH:D018281,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Cholestasis, Intrahepatic",Disease,"Cholestasis, Intrahepatic",MESH:D002780,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Choriocarcinoma,Disease,Choriocarcinoma,MESH:D002822,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Colonic Neoplasms,Disease,Colonic Neoplasms,MESH:D003110,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Colorectal Neoplasms,Disease,Colorectal Neoplasms,MESH:D015179,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Congenital Hypothyroidism,Disease,Congenital Hypothyroidism,MESH:D003409,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Death, Sudden, Cardiac",Disease,"Death, Sudden, Cardiac",MESH:D016757,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Dementia, Vascular",Disease,"Dementia, Vascular",MESH:D015140,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Desmoid Tumors,Disease,Desmoid Tumors,MESH:D018222,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Disseminated Intravascular Coagulation,Disease,Disseminated Intravascular Coagulation,MESH:D004211,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Edema, Cardiac",Disease,"Edema, Cardiac",MESH:D004489,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Encephalomyelitis, Autoimmune, Experimental",Disease,"Encephalomyelitis, Autoimmune, Experimental",MESH:D004681,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Endometrial Neoplasms,Disease,Endometrial Neoplasms,MESH:D016889,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Esophageal Neoplasms,Disease,Esophageal Neoplasms,MESH:D004938,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Esophageal Squamous Cell Carcinoma,Disease,Esophageal Squamous Cell Carcinoma,MESH:D000077277,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Euthyroid Sick Syndromes,Disease,Euthyroid Sick Syndromes,MESH:D005067,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Fallopian Tube Neoplasms,Disease,Fallopian Tube Neoplasms,MESH:D005185,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Gallbladder Neoplasms,Disease,Gallbladder Neoplasms,MESH:D005706,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Gastrointestinal Neoplasms,Disease,Gastrointestinal Neoplasms,MESH:D005770,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Gastrointestinal Stromal Tumors,Disease,Gastrointestinal Stromal Tumors,MESH:D046152,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Genital Neoplasms, Female",Disease,"Genital Neoplasms, Female",MESH:D005833,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Glycosuria, Renal",Disease,"Glycosuria, Renal",MESH:D006030,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Granulosa cell tumor of the ovary,Disease,Granulosa cell tumor of the ovary,MESH:C537296,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Head and Neck Neoplasms,Disease,Head and Neck Neoplasms,MESH:D006258,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Hematologic Neoplasms,Disease,Hematologic Neoplasms,MESH:D019337,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Hepatic Encephalopathy,Disease,Hepatic Encephalopathy,MESH:D006501,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Hepatic Insufficiency,Disease,Hepatic Insufficiency,MESH:D048550,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Hepatic Veno-Occlusive Disease,Disease,Hepatic Veno-Occlusive Disease,MESH:D006504,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Hepatitis, Autoimmune",Disease,"Hepatitis, Autoimmune",MESH:D019693,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Hypertension,Disease,Hypertension,MESH:D006973,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Hypertension, Portal",Disease,"Hypertension, Portal",MESH:D006975,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Hypertension, Pregnancy-Induced",Disease,"Hypertension, Pregnancy-Induced",MESH:D046110,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Hypertension, Pulmonary",Disease,"Hypertension, Pulmonary",MESH:D006976,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Hypertension, Renovascular",Disease,"Hypertension, Renovascular",MESH:D006978,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Hyperthyroidism,Disease,Hyperthyroidism,MESH:D006980,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Hypomagnesemia 2, renal",Disease,"Hypomagnesemia 2, renal",MESH:C537152,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Hypothyroidism,Disease,Hypothyroidism,MESH:D007037,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Immune Complex Diseases,Disease,Immune Complex Diseases,MESH:D007105,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Immune System Diseases,Disease,Immune System Diseases,MESH:D007154,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Inflammatory Breast Neoplasms,Disease,Inflammatory Breast Neoplasms,MESH:D058922,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Intestinal Neoplasms,Disease,Intestinal Neoplasms,MESH:D007414,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Intracranial Hypertension,Disease,Intracranial Hypertension,MESH:D019586,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Kidney Neoplasms,Disease,Kidney Neoplasms,MESH:D007680,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Laryngeal Neoplasms,Disease,Laryngeal Neoplasms,MESH:D007822,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Leukemia,Disease,Leukemia,MESH:D007938,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Leukemia, Experimental",Disease,"Leukemia, Experimental",MESH:D007942,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Leukemia, Lymphocytic, Chronic, B-Cell",Disease,"Leukemia, Lymphocytic, Chronic, B-Cell",MESH:D015451,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Leukemia, Lymphoid",Disease,"Leukemia, Lymphoid",MESH:D007945,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Leukemia-Lymphoma, Adult T-Cell",Disease,"Leukemia-Lymphoma, Adult T-Cell",MESH:D015459,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Leukemia, Monocytic, Acute",Disease,"Leukemia, Monocytic, Acute",MESH:D007948,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Disease,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",MESH:D015464,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Leukemia, Myeloid",Disease,"Leukemia, Myeloid",MESH:D007951,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Leukemia, Myeloid, Acute",Disease,"Leukemia, Myeloid, Acute",marker/mechanism;MESH:D015470,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Leukemia, Myeloid, Chronic-Phase",Disease,"Leukemia, Myeloid, Chronic-Phase",MESH:D015466,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Leukemia, Myelomonocytic, Chronic",Disease,"Leukemia, Myelomonocytic, Chronic",MESH:D015477,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Leukemia, Promyelocytic, Acute",Disease,"Leukemia, Promyelocytic, Acute",marker/mechanism;MESH:D015473,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Leukemia, T-Cell",Disease,"Leukemia, T-Cell",MESH:D015458,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Leydig Cell Tumor,Disease,Leydig Cell Tumor,MESH:D007984,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Liver Neoplasms,Disease,Liver Neoplasms,MESH:D008113,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Liver Neoplasms, Experimental",Disease,"Liver Neoplasms, Experimental",MESH:D008114,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Lung agenesis,Disease,Lung agenesis,MESH:C562992,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Lung Diseases,Disease,Lung Diseases,MESH:D008171,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Lung Diseases, Interstitial",Disease,"Lung Diseases, Interstitial",MESH:D017563,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Lung Injury,Disease,Lung Injury,MESH:D055370,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Lung Neoplasms,Disease,Lung Neoplasms,MESH:D008175,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Lymphatic Metastasis,Disease,Lymphatic Metastasis,MESH:D008207,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Lymphoma,Disease,Lymphoma,MESH:D008223,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Lymphoma, AIDS-Related",Disease,"Lymphoma, AIDS-Related",MESH:D016483,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Lymphoma, B-Cell",Disease,"Lymphoma, B-Cell",MESH:D016393,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Lymphoma, Large B-Cell, Diffuse",Disease,"Lymphoma, Large B-Cell, Diffuse",MESH:D016403,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Lymphoma, Large-Cell, Anaplastic",Disease,"Lymphoma, Large-Cell, Anaplastic",MESH:D017728,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Lymphoma, Mantle-Cell",Disease,"Lymphoma, Mantle-Cell",MESH:D020522,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Lymphoma, Non-Hodgkin",Disease,"Lymphoma, Non-Hodgkin",MESH:D008228,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Lymphoma, T-Cell",Disease,"Lymphoma, T-Cell",MESH:D016399,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Lymphoma, T-Cell, Cutaneous",Disease,"Lymphoma, T-Cell, Cutaneous",MESH:D016410,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Lymphoma, T-Cell, Peripheral",Disease,"Lymphoma, T-Cell, Peripheral",MESH:D016411,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Male Germ Cell Tumor,Disease,Male Germ Cell Tumor,MESH:C564777,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Mammary Neoplasms, Animal",Disease,"Mammary Neoplasms, Animal",MESH:D015674,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Mammary Neoplasms, Experimental",Disease,"Mammary Neoplasms, Experimental",MESH:D008325,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Massive Hepatic Necrosis,Disease,Massive Hepatic Necrosis,MESH:D047508,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Maxillary Sinus Neoplasms,Disease,Maxillary Sinus Neoplasms,MESH:D008444,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Mouth Neoplasms,Disease,Mouth Neoplasms,MESH:D009062,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Nasopharyngeal Carcinoma,Disease,Nasopharyngeal Carcinoma,MESH:D000077274,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Nasopharyngeal Neoplasms,Disease,Nasopharyngeal Neoplasms,MESH:D009303,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Neoplasm Invasiveness,Disease,Neoplasm Invasiveness,MESH:D009361,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Neoplasm Metastasis,Disease,Neoplasm Metastasis,MESH:D009362,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Neoplasm Recurrence, Local",Disease,"Neoplasm Recurrence, Local",MESH:D009364,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Neoplasms,Disease,Neoplasms,MESH:D009369,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Neoplasms, Experimental",Disease,"Neoplasms, Experimental",MESH:D009374,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Neoplasms, Germ Cell and Embryonal",Disease,"Neoplasms, Germ Cell and Embryonal",MESH:D009373,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Neoplasms, Glandular and Epithelial",Disease,"Neoplasms, Glandular and Epithelial",MESH:D009375,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Neovascularization, Pathologic",Disease,"Neovascularization, Pathologic",MESH:D009389,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Neuroectodermal Tumors,Disease,Neuroectodermal Tumors,MESH:D017599,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Neuroendocrine Tumors,Disease,Neuroendocrine Tumors,MESH:D018358,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Neutropenia,Disease,Neutropenia,MESH:D009503,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Nonseminomatous germ cell tumor,Disease,Nonseminomatous germ cell tumor,MESH:C537844,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Nose Neoplasms,Disease,Nose Neoplasms,MESH:D009669,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Ocular Hypertension,Disease,Ocular Hypertension,MESH:D009798,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Ovarian Neoplasms,Disease,Ovarian Neoplasms,MESH:D010051,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Pancreatic cancer, adult",Disease,"Pancreatic cancer, adult",MESH:C535836,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Pancreatic Neoplasms,Disease,Pancreatic Neoplasms,MESH:D010190,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Paraganglioma, Extra-Adrenal",Disease,"Paraganglioma, Extra-Adrenal",MESH:D010236,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Peripheral Vascular Diseases,Disease,Peripheral Vascular Diseases,MESH:D016491,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Pharyngeal Neoplasms,Disease,Pharyngeal Neoplasms,MESH:D010610,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Pituitary Neoplasms,Disease,Pituitary Neoplasms,MESH:D010911,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Pleural Neoplasms,Disease,Pleural Neoplasms,MESH:D010997,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Porphyrias, Hepatic",Disease,"Porphyrias, Hepatic",MESH:D017094,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Precancerous Conditions,Disease,Precancerous Conditions,MESH:D011230,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,Disease,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,MESH:D015452,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Precursor Cell Lymphoblastic Leukemia-Lymphoma,Disease,Precursor Cell Lymphoblastic Leukemia-Lymphoma,marker/mechanism;MESH:D054198,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,Disease,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054218,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Prostatic Neoplasms,Disease,Prostatic Neoplasms,MESH:D011471,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Pseudotumor Cerebri,Disease,Pseudotumor Cerebri,MESH:D011559,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Rectal Neoplasms,Disease,Rectal Neoplasms,MESH:D012004,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Renal Artery Obstruction,Disease,Renal Artery Obstruction,MESH:D012078,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Renal Insufficiency,Disease,Renal Insufficiency,MESH:D051437,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),"Renal Insufficiency, Chronic",Disease,"Renal Insufficiency, Chronic",MESH:D051436,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Salivary Gland Neoplasms,Disease,Salivary Gland Neoplasms,MESH:D012468,CTD
FLT3 - fms related receptor tyrosine kinase 3 (human),Sebaceous Gland Neoplasms,Disease,Sebaceous Gland Neoplasms,MESH:D012626,CTD
