source,relation,target,value,unit,metadata,source_file
Pralsetinib,co_occurs_with_chemical,Doxorubicin,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Lambrolizumab,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Estradiol,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,ret proto-oncogene,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,tyrosine kinase non receptor 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,kinesin family member 5b,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,coiled-coil domain containing 6,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,zinc finger mynd-type containing 10,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,epidermal growth factor receptor,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,"b-raf proto-oncogene, serine/threonine kinase",Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,"ros proto-oncogene 1, receptor tyrosine kinase",Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,cd274 molecule,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,calcitonin related polypeptide alpha,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,potassium voltage-gated channel subfamily a member 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,kinase insert domain receptor,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,tumor protein p53,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,nuclear receptor coactivator 4,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,erb-b2 receptor tyrosine kinase 2,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,programmed cell death 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,cea cell adhesion molecule 5,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,aspartate transaminase,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,cytochrome p450 family 3 subfamily a member 4,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,ankyrin 3,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,emap like 4,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,thyroid peroxidase,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,platelet derived growth factor receptor beta,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,protein bel-1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,atp binding cassette subfamily b member 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,receptor protein-tyrosine kinase,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,fibroblast growth factor receptor 3,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,rb transcriptional corepressor 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,microrna 8070,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,microrna 4299,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,neurotrophic receptor tyrosine kinase 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,mab-21 like 4,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,akt serine/threonine kinase 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,glial cell derived neurotrophic factor,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,janus kinase 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,glutamic--pyruvic transaminase,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,isochorismatase domain containing 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,forkhead box j3,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,alk receptor tyrosine kinase,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,run and fyve domain containing 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,taste 2 receptor member 38,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,thyroglobulin,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,"growth factor, augmenter of liver regeneration",Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,transforming acidic coiled-coil containing protein 3,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,neurotrophic receptor tyrosine kinase 3,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,fibroblast growth factor receptor 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,kinesin family member 13a,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,single-strand-selective monofunctional uracil-dna glycosylase 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,prominin 2,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,protein lf2,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,progesterone immunomodulatory binding factor 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,neuregulin 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,c1q and tnf related 6,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,semaphorin 5a,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,neuregulin 3,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,estrogen receptor 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,lf1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,spermine synthase,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,calcyclin binding protein,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,fms related receptor tyrosine kinase 3,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,gli family zinc finger 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,"dicer 1, ribonuclease iii",Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,coiled-coil domain containing 30,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,siah e3 ubiquitin protein ligase 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,ben domain containing 7,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,serine/threonine kinase 11,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,gins complex subunit 2,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,elks/rab6-interacting/cast family member 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,platelet derived growth factor receptor alpha,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,fibroblast growth factor receptor 2,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,erb-b2 receptor tyrosine kinase 3,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,cd74 molecule,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,cereblon,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,alf transcription elongation factor 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,podocalyxin like,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,fms related receptor tyrosine kinase 4,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,ankyrin 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,somatostatin receptor 2,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,discs large maguk scaffold protein 5,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,agamous-like mads-box protein ap1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,bromodomain containing 4,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,yes1 associated transcriptional regulator,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,tripartite motif containing 33,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,shc adaptor protein 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,nk2 homeobox 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,ets variant transcription factor 6,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,poc1 centriolar protein b,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,ubiquitin specific peptidase 8,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,"bcar3 adaptor protein, nsp family member",Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,"hras proto-oncogene, gtpase",Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,atp binding cassette subfamily g member 2 (jr blood group),Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,cytochrome p450 family 2 subfamily j member 2,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,platelet activating factor acetylhydrolase 1b regulatory subunit 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,multiple inositol-polyphosphate phosphatase 1,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,dicarbonyl and l-xylulose reductase,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,insulin like growth factor 1 receptor,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_gene,"met proto-oncogene, receptor tyrosine kinase",Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Gene-Co-Occurrences-in-Literature_CID_129073603.json
