id,type
ACKR3,Protein
BRD2,Protein
FAS,Protein
PSMA3,Protein
NPY1R,Protein
MSN,Protein
U2AF2,Protein
TARS1,Protein
CBLIF,Protein
RPA1,Protein
APEX1,Protein
ACADL,Protein
TEAD1,Protein
SMARCA1,Protein
DUSP1,Protein
MZF1,Protein
GTF2E2,Protein
SHC1,Protein
KDM5A,Protein
NOS1,Protein
LMOD1,Protein
MARCKS,Protein
BLVRB,Protein
CDC27,Protein
CCND3,Protein
CDC25C,Protein
LRPAP1,Protein
SDHA,Protein
SLC6A4,Protein
IL2RG,Protein
STIP1,Protein
S100A11,Protein
GRK4,Protein
DCTD,Protein
PYCR1,Protein
HPD,Protein
ICAM3,Protein
H2BC3,Protein
TTK,Protein
MCM4,Protein
SHMT2,Protein
EVI2B,Protein
MPI,Protein
PTGER1,Protein
CTNNA1,Protein
PHB1,Protein
SERPINB6,Protein
RDX,Protein
SPR,Protein
FBN1,Protein
AGL,Protein
FUS,Protein
ATP7B,Protein
SOX6,Protein
GJA5,Protein
PGM1,Protein
TGFBR1,Protein
LTBR,Protein
ACVRL1,Protein
NUP62,Protein
TAGLN2,Protein
RPL3,Protein
CAPG,Protein
ADCY8,Protein
TXLNA,Protein
CD79B,Protein
PBX2,Protein
RPL13A,Protein
MDH1,Protein
EIF2S3,Protein
OPRL1,Protein
AQP2,Protein
CSK,Protein
IARS1,Protein
SLC19A1,Protein
STAT1,Protein
ARHGAP25,Protein
EPS15,Protein
TEC,Protein
FRK,Protein
SLC1A1,Protein
SLC1A4,Protein
ETV4,Protein
RANBP1,Protein
CHRNA4,Protein
MMP13,Protein
CBX5,Protein
PHKA1,Protein
RANGAP1,Protein
GPR3,Protein
ATRX,Protein
CRKL,Protein
IER3,Protein
RPS10,Protein
NEDD4,Protein
CSN1S1,Protein
PLA2G4A,Protein
RAP1GAP,Protein
CAPZB,Protein
GABRB2,Protein
GCGR,Protein
RPL29,Protein
SLC6A11,Protein
GCLC,Protein
KCNC1,Protein
CSNK1D,Protein
LHX1,Protein
ADGRE5,Protein
MAPKAPK2,Protein
CX3CR1,Protein
RPIA,Protein
FMO5,Protein
FNTB,Protein
CENPA,Protein
PPM1F,Protein
PRIM2,Protein
CEBPA,Protein
ACADVL,Protein
CLK3,Protein
NUP153,Protein
SELENOP,Protein
IDH3A,Protein
CPT1A,Protein
CSRP3,Protein
PDLIM4,Protein
VASP,Protein
KNTC1,Protein
BCAM,Protein
ATP1A2,Protein
FXR1,Protein
SCNN1B,Protein
SMARCA2,Protein
SMARCA4,Protein
IRAK1,Protein
ALDH3A2,Protein
CLCN6,Protein
BMX,Protein
PRKX,Protein
LUM,Protein
CCNH,Protein
NEK3,Protein
HNRNPF,Protein
KIF11,Protein
